,0,1
0,CFHTLS-VAR-J022515.74-045958.7,32
1,CFHTLS-VAR-J141937.69+524110.8,87
2,CFHTLS-VAR-J141851.55+521221.0,105
3,CFHTLS-VAR-J022557.01-041001.8,107
4,CFHTLS-VAR-J141948.89+525207.1,130
5,CFHTLS-VAR-J221352.56-180026.0,149
6,CFHTLS-VAR-J022648.53-041242.3,235
7,CFHTLS-VAR-J141650.69+530244.3,286
8,CFHTLS-VAR-J141911.75+521126.8,346
9,CFHTLS-VAR-J100119.43+022252.8,411
10,CFHTLS-VAR-J022733.04-045308.4,467
11,CFHTLS-VAR-J100002.68+023140.5,503
12,CFHTLS-VAR-J221535.79-171831.5,509
13,CFHTLS-VAR-J142243.01+524829.8,570
14,CFHTLS-VAR-J022720.89-040303.8,656
15,CFHTLS-VAR-J100159.98+015959.1,743
16,CFHTLS-VAR-J221532.70-172336.5,857
17,CFHTLS-VAR-J022700.77-041833.1,951
18,CFHTLS-VAR-J022648.53-045955.7,1041
19,CFHTLS-VAR-J022422.51-044155.1,1159
20,CFHTLS-VAR-J100012.31+020249.9,1193
21,CFHTLS-VAR-J221350.59-172142.7,1248
22,CFHTLS-VAR-J022410.46-044955.0,1259
23,CFHTLS-VAR-J221418.77-172810.2,1276
24,CFHTLS-VAR-J022501.25-040806.7,1308
25,CFHTLS-VAR-J221551.50-172649.9,1359
26,CFHTLS-VAR-J022609.21-041035.0,1457
27,CFHTLS-VAR-J221732.72-174311.2,1489
28,CFHTLS-VAR-J142038.96+522316.3,1675
29,CFHTLS-VAR-J142003.31+530723.7,1701
30,CFHTLS-VAR-J221405.84-173128.5,1747
31,CFHTLS-VAR-J022755.65-040533.7,1813
32,CFHTLS-VAR-J221328.86-181037.9,1947
33,CFHTLS-VAR-J221537.67-174143.8,2116
34,CFHTLS-VAR-J022505.57-044734.9,2259
35,CFHTLS-VAR-J100125.91+023446.0,2433
36,CFHTLS-VAR-J022618.19-042522.4,2556
37,CFHTLS-VAR-J221453.31-174250.1,2590
38,CFHTLS-VAR-J095953.56+014307.1,2629
39,CFHTLS-VAR-J022712.78-045717.7,2655
40,CFHTLS-VAR-J221613.52-174225.3,2687
41,CFHTLS-VAR-J221518.32-172649.0,2831
42,CFHTLS-VAR-J141750.16+523201.2,2847
43,CFHTLS-VAR-J022752.79-040914.9,2882
44,CFHTLS-VAR-J022757.97-035955.2,2967
45,CFHTLS-VAR-J221606.51-171845.2,3073
46,CFHTLS-VAR-J141721.93+530048.7,3127
47,CFHTLS-VAR-J142209.15+530559.7,3136
48,CFHTLS-VAR-J100215.53+015904.6,3258
49,CFHTLS-VAR-J141719.02+530222.2,3316
50,CFHTLS-VAR-J221524.39-174043.7,3339
51,CFHTLS-VAR-J141728.28+522814.1,3341
52,CFHTLS-VAR-J022703.08-041322.9,3380
53,CFHTLS-VAR-J022701.38-041323.9,3387
54,CFHTLS-VAR-J022744.64-040259.2,3467
55,CFHTLS-VAR-J221441.33-171715.7,3483
56,CFHTLS-VAR-J141940.60+530427.1,3494
57,CFHTLS-VAR-J095841.26+015335.0,3540
58,CFHTLS-VAR-J221611.68-174805.1,3650
59,CFHTLS-VAR-J221330.84-172956.0,3666
60,CFHTLS-VAR-J221360.00-181041.2,3714
61,CFHTLS-VAR-J095935.39+015619.6,3747
62,CFHTLS-VAR-J142027.82+530201.9,3759
63,CFHTLS-VAR-J221519.95-174127.8,3841
64,CFHTLS-VAR-J141736.96+522214.3,3881
65,CFHTLS-VAR-J141802.03+521836.6,3908
66,CFHTLS-VAR-J022443.36-042736.5,3919
67,CFHTLS-VAR-J141750.75+530741.7,3933
68,CFHTLS-VAR-J221649.22-175311.7,3938
69,CFHTLS-VAR-J141934.90+530037.9,3963
70,CFHTLS-VAR-J141940.08+523440.0,4020
71,CFHTLS-VAR-J022653.74-035949.0,4041
72,CFHTLS-VAR-J022541.63-045849.5,4082
73,CFHTLS-VAR-J022730.07-043815.4,4126
74,CFHTLS-VAR-J142039.12+525746.3,4546
75,CFHTLS-VAR-J142040.80+524021.9,4633
76,CFHTLS-VAR-J022449.36-042354.8,4639
77,CFHTLS-VAR-J221710.65-172814.5,4655
78,CFHTLS-VAR-J100018.23+021551.5,5042
79,CFHTLS-VAR-J022554.57-041238.4,5096
80,CFHTLS-VAR-J100107.08+023403.6,5101
81,CFHTLS-VAR-J221606.13-180645.2,5388
82,CFHTLS-VAR-J221523.31-174309.2,5698
83,CFHTLS-VAR-J141632.28+525350.0,5737
84,CFHTLS-VAR-J221703.90-174030.2,5795
85,CFHTLS-VAR-J022607.76-041842.8,5865
86,CFHTLS-VAR-J142030.51+525717.8,5895
87,CFHTLS-VAR-J221336.00-172729.8,5942
88,CFHTLS-VAR-J095935.06+015312.3,5946
89,CFHTLS-VAR-J022720.23-045940.3,5975
90,CFHTLS-VAR-J022710.84-044953.1,6003
91,CFHTLS-VAR-J221417.37-173243.4,6200
92,CFHTLS-VAR-J141953.52+521142.9,6342
93,CFHTLS-VAR-J100143.65+020037.6,6409
94,CFHTLS-VAR-J221527.07-172623.9,6601
95,CFHTLS-VAR-J142220.32+530831.8,6636
96,CFHTLS-VAR-J221502.16-180112.8,6642
97,CFHTLS-VAR-J142231.25+525605.0,6643
98,CFHTLS-VAR-J022708.74-041358.7,6708
99,CFHTLS-VAR-J221538.08-171755.1,6757
100,CFHTLS-VAR-J221632.45-172314.6,6782
101,CFHTLS-VAR-J100202.76+015903.1,6814
102,CFHTLS-VAR-J022625.95-041002.1,6841
103,CFHTLS-VAR-J141647.01+531017.6,7175
104,CFHTLS-VAR-J142145.67+523620.5,7191
105,CFHTLS-VAR-J221525.65-171635.4,7265
106,CFHTLS-VAR-J142211.04+530450.5,7380
107,CFHTLS-VAR-J022607.32-040430.8,7498
108,CFHTLS-VAR-J221339.24-181128.9,7504
109,CFHTLS-VAR-J022627.57-042416.0,7516
110,CFHTLS-VAR-J141913.71+530428.0,7595
111,CFHTLS-VAR-J221430.70-171744.0,7679
112,CFHTLS-VAR-J141632.47+524740.3,7690
113,CFHTLS-VAR-J221717.00-180150.9,7701
114,CFHTLS-VAR-J100041.75+022410.6,7953
115,CFHTLS-VAR-J142113.20+530250.0,7989
116,CFHTLS-VAR-J095839.00+015505.7,8098
117,CFHTLS-VAR-J221441.92-174940.8,8149
118,CFHTLS-VAR-J141631.30+525341.4,8220
119,CFHTLS-VAR-J141943.48+522812.2,8230
120,CFHTLS-VAR-J141658.46+523035.6,8369
121,CFHTLS-VAR-J221543.73-173351.2,8379
122,CFHTLS-VAR-J221338.45-174326.5,8382
123,CFHTLS-VAR-J221430.97-172657.8,8393
124,CFHTLS-VAR-J221525.58-175131.6,8444
125,CFHTLS-VAR-J141739.79+530528.6,8499
126,CFHTLS-VAR-J141823.78+524203.9,8648
127,CFHTLS-VAR-J022505.63-044530.4,8674
128,CFHTLS-VAR-J141734.34+531018.5,8901
129,CFHTLS-VAR-J221625.74-172127.6,9008
130,CFHTLS-VAR-J142205.83+525638.8,9075
131,CFHTLS-VAR-J221423.84-174130.7,9093
132,CFHTLS-VAR-J221443.91-172333.9,9101
133,CFHTLS-VAR-J141848.00+525945.7,9180
134,CFHTLS-VAR-J221412.43-180505.8,9226
135,CFHTLS-VAR-J095843.77+015542.4,9267
136,CFHTLS-VAR-J221708.20-171358.4,9301
137,CFHTLS-VAR-J095907.65+023256.6,9371
138,CFHTLS-VAR-J100200.76+023128.8,9383
139,CFHTLS-VAR-J100219.49+015537.1,9412
140,CFHTLS-VAR-J141849.97+522711.3,9473
141,CFHTLS-VAR-J221727.03-175019.6,9485
142,CFHTLS-VAR-J221449.27-175909.8,9648
143,CFHTLS-VAR-J142117.03+530706.2,9707
144,CFHTLS-VAR-J141639.68+524828.1,9728
145,CFHTLS-VAR-J142101.84+523943.4,9752
146,CFHTLS-VAR-J221528.86-172537.1,9790
147,CFHTLS-VAR-J141721.83+530454.4,9796
148,CFHTLS-VAR-J141626.62+522557.6,9840
149,CFHTLS-VAR-J142021.63+521456.2,9875
150,CFHTLS-VAR-J221519.16-173310.4,10031
151,CFHTLS-VAR-J022738.64-042735.0,10072
152,CFHTLS-VAR-J022408.11-043018.7,10082
153,CFHTLS-VAR-J141659.56+530902.3,10092
154,CFHTLS-VAR-J141948.03+521346.6,10147
155,CFHTLS-VAR-J221714.33-174632.8,10319
156,CFHTLS-VAR-J095920.34+022701.9,10326
157,CFHTLS-VAR-J022427.66-040849.8,10353
158,CFHTLS-VAR-J221706.90-181043.6,10385
159,CFHTLS-VAR-J100111.91+014320.7,10521
