#NOTE: PDF NAME is also 3s_index value
3s_index,gen_index,name
0,32,'CFHTLS-VAR-J221639.06-180124.1.mjdmag'
4,130,'CFHTLS-VAR-J095900.35+021043.9.mjdmag'
8,346,'CFHTLS-VAR-J142027.13+523633.1.mjdmag'
11,503,'CFHTLS-VAR-J022611.79-040330.4.mjdmag'
13,570,'CFHTLS-VAR-J100044.33+021719.8.mjdmag'
15,743,'CFHTLS-VAR-J022732.82-041239.3.mjdmag'
17,951,'CFHTLS-VAR-J221711.05-174150.7.mjdmag'
18,1041,'CFHTLS-VAR-J221508.34-180753.4.mjdmag'
21,1248,'CFHTLS-VAR-J221442.33-175513.5.mjdmag'
22,1259,'CFHTLS-VAR-J142028.05+522027.3.mjdmag'
24,1308,'CFHTLS-VAR-J221342.45-172722.1.mjdmag'
26,1457,'CFHTLS-VAR-J141818.25+524330.9.mjdmag'
28,1675,'CFHTLS-VAR-J221432.02-173936.1.mjdmag'
30,1747,'CFHTLS-VAR-J022557.54-042821.2.mjdmag'
31,1813,'CFHTLS-VAR-J022658.46-043225.0.mjdmag'
34,2259,'CFHTLS-VAR-J221628.45-171332.6.mjdmag'
35,2433,'CFHTLS-VAR-J022420.38-041849.2.mjdmag'
36,2556,'CFHTLS-VAR-J141650.85+523413.8.mjdmag'
37,2590,'CFHTLS-VAR-J095836.47+022141.5.mjdmag'
38,2629,'CFHTLS-VAR-J095923.86+023806.3.mjdmag'
39,2655,'CFHTLS-VAR-J100118.91+021812.8.mjdmag'
45,3073,'CFHTLS-VAR-J100159.15+015230.8.mjdmag'
48,3258,'CFHTLS-VAR-J095906.74+020940.4.mjdmag'
49,3316,'CFHTLS-VAR-J221639.78-175915.0.mjdmag'
51,3341,'CFHTLS-VAR-J221407.53-174955.3.mjdmag'
58,3650,'CFHTLS-VAR-J221415.06-173105.2.mjdmag'
59,3666,'CFHTLS-VAR-J095856.11+020434.9.mjdmag'
60,3714,'CFHTLS-VAR-J095958.55+022950.2.mjdmag'
62,3759,'CFHTLS-VAR-J100132.25+020620.6.mjdmag'
64,3881,'CFHTLS-VAR-J221556.26-180356.2.mjdmag'
65,3908,'CFHTLS-VAR-J221720.67-172251.6.mjdmag'
69,3963,'CFHTLS-VAR-J221625.57-174351.2.mjdmag'
72,4082,'CFHTLS-VAR-J141753.51+524825.8.mjdmag'
73,4126,'CFHTLS-VAR-J221441.92-174940.8.mjdmag'
75,4633,'CFHTLS-VAR-J221534.17-172719.6.mjdmag'
79,5096,'CFHTLS-VAR-J221448.03-174523.5.mjdmag'
81,5388,'CFHTLS-VAR-J221626.72-171250.1.mjdmag'
82,5698,'CFHTLS-VAR-J221531.24-171329.9.mjdmag'
83,5737,'CFHTLS-VAR-J022749.19-035934.0.mjdmag'
90,6003,'CFHTLS-VAR-J221404.64-180325.7.mjdmag'
91,6200,'CFHTLS-VAR-J100017.11+020115.1.mjdmag'
93,6409,'CFHTLS-VAR-J100147.15+020511.3.mjdmag'
96,6642,'CFHTLS-VAR-J100018.85+023507.6.mjdmag'
99,6757,'CFHTLS-VAR-J100204.73+014747.7.mjdmag'
108,7504,'CFHTLS-VAR-J221528.03-173849.6.mjdmag'
113,7701,'CFHTLS-VAR-J100012.38+023830.2.mjdmag'
114,7953,'CFHTLS-VAR-J221333.38-171556.6.mjdmag'
119,8230,'CFHTLS-VAR-J221437.62-173150.4.mjdmag'
120,8369,'CFHTLS-VAR-J022431.73-040547.5.mjdmag'
124,8444,'CFHTLS-VAR-J142129.31+524227.5.mjdmag'
126,8648,'CFHTLS-VAR-J221414.21-180308.1.mjdmag'
127,8674,'CFHTLS-VAR-J221329.44-175059.0.mjdmag'
128,8901,'CFHTLS-VAR-J221614.93-173223.7.mjdmag'
130,9075,'CFHTLS-VAR-J221401.46-173836.2.mjdmag'
134,9226,'CFHTLS-VAR-J142238.79+521649.4.mjdmag'
135,9267,'CFHTLS-VAR-J221427.15-180452.8.mjdmag'
136,9301,'CFHTLS-VAR-J141908.43+521516.6.mjdmag'
140,9473,'CFHTLS-VAR-J221658.88-171728.7.mjdmag'
141,9485,'CFHTLS-VAR-J022538.43-045508.7.mjdmag'
143,9707,'CFHTLS-VAR-J022602.62-040753.5.mjdmag'
149,9875,'CFHTLS-VAR-J221447.28-172558.7.mjdmag'
